omega_p_MHz,ratio,delta_MHz,omega_c_MHz,omega_R_MHz,T_c_ns,T_f_ns,sigma_ns,t_total_ns,M1,M2,F_bar,F_00,F_01,F_10,F_11
55.0,2.8,600.0,70.0,154.0,7.142857142857143,190.47880108157065,1.7277462349176578,395.2433164488556,175.31573087269777,62.612761025963486,0.9865115835009091,0.9649386124018606,0.9955520414059086,0.9955520414059086,0.9900036387899583
55.0,3.0,400.0,50.0,165.0,10.0,126.98586738771378,0.5119248103459729,273.9717347754276,116.87715391513184,38.95905130504395,0.9946746497723282,0.9979100868366069,0.9946091127482348,0.9946091127520649,0.9915702867524063
55.0,3.0,400.0,60.0,165.0,8.333333333333334,126.98586738771378,0.5119248103459729,270.6384014420942,116.87715391513184,38.95905130504395,0.9949352285250699,0.9979142704206537,0.994621363358717,0.994621363358717,0.992583916962192
55.0,3.0,400.0,70.0,165.0,7.142857142857143,126.98586738771378,0.5119248103459729,268.25744906114187,116.87715391513184,38.95905130504395,0.9950901811603666,0.9979158409438744,0.9946284692803277,0.9946284693123275,0.993187945104937
55.0,3.0,450.0,50.0,165.0,10.0,142.859100811178,0.7288929428558871,305.71820162235605,131.48679815452334,43.82893271817444,0.9941790084873527,0.9973638727802736,0.9948849497602764,0.994884949765517,0.9895822616433442
55.0,3.0,450.0,60.0,165.0,8.333333333333334,142.859100811178,0.7288929428558871,302.3848682890227,131.48679815452334,43.82893271817444,0.9945649252788515,0.9973633816437139,0.9948962764878837,0.9948962764889251,0.9911037664948839
55.0,3.0,450.0,70.0,165.0,7.142857142857143,142.859100811178,0.7288929428558871,300.00391590807027,131.48679815452334,43.82893271817444,0.9947961154139788,0.9973622945670167,0.9949028095542056,0.9949028095941748,0.9920165479405181
55.0,3.0,500.0,50.0,165.0,10.0,158.7323342346422,0.999853145206978,337.4646684692844,146.09644239391483,48.69881413130494,0.9936264559624122,0.9965593019129362,0.9950573570514165,0.9950573570536806,0.9878318078316157
55.0,3.0,500.0,60.0,165.0,8.333333333333334,158.7323342346422,0.999853145206978,334.1313351359511,146.09644239391483,48.69881413130494,0.9941188319567807,0.9965565685480415,0.9950677272390274,0.9950677272961057,0.9897833047439484
55.0,3.0,500.0,70.0,165.0,7.142857142857143,158.7323342346422,0.999853145206978,331.75038275499867,146.09644239391483,48.69881413130494,0.9944163740154837,0.9965595749597513,0.9950741645712535,0.9950741645712535,0.9909575919596763
