omega_p_MHz,ratio,delta_MHz,omega_c_MHz,omega_R_MHz,T_c_ns,T_f_ns,sigma_ns,t_total_ns,M1,M2,F_bar,F_00,F_01,F_10,F_11,n_neighbors_total,n_neighbors_pass,robust_score,pass
70.0,3.0,600.0,70.0,210.0,7.142857142857143,117.591504749337,0.4065068349068206,249.46872378438832,108.23062977345118,36.076876591150395,0.9948857708454427,0.9970677204256946,0.9942122737883216,0.9942122737883216,0.9940508153794334,5,4,0.8,1
50.0,3.0,400.0,70.0,150.0,7.142857142857143,153.65289953913367,0.9069060289413221,321.5915133639816,141.42135623730954,47.14045207910318,0.9946436844308905,0.9974700275466489,0.9949878740530995,0.9949878740539011,0.9911289620699122,5,4,0.8,1
50.0,3.0,600.0,70.0,150.0,7.142857142857143,230.47934930870048,3.0608078476769607,475.24441290311523,212.1320343559643,70.71067811865477,0.9937323128538715,0.9942472267252978,0.995022834554059,0.995022834554059,0.9906363555820701,5,4,0.8,1
65.0,3.2,400.0,70.0,208.0,7.142857142857143,90.91887546694302,0.1878893548390505,196.12346521960035,83.68127588006482,26.150398712520257,0.9903740032634061,0.9846228161654003,0.9910671530989135,0.9910671530989135,0.9947388906903969,5,4,0.8,1
65.0,3.2,400.0,50.0,208.0,10.0,90.91887546694302,0.1878893548390505,201.83775093388604,83.68127588006482,26.150398712520257,0.9902418539955589,0.984626935851829,0.9910493234507471,0.9910493234894562,0.9942418331902032,5,4,0.8,1
65.0,3.2,600.0,70.0,208.0,7.142857142857143,136.3783132004145,0.6341265725817954,287.04234068654335,125.52191382009721,39.22559806878038,0.9901621208885893,0.9803015812135951,0.9939193666481752,0.9939193666481752,0.992508169044412,5,4,0.8,1
60.0,3.0,550.0,60.0,180.0,8.333333333333334,146.71717837938118,0.7895559437290638,310.101023425429,135.03775335159764,45.01258445053255,0.9943200897011285,0.996493074795012,0.9949643453771999,0.9949643453771999,0.9908585932551022,8,6,0.75,1
55.0,3.0,500.0,60.0,165.0,8.333333333333334,158.7323342346422,0.999853145206978,334.1313351359511,146.09644239391483,48.69881413130494,0.9941188319567807,0.9965565685480415,0.9950677272390274,0.9950677272961057,0.9897833047439484,8,6,0.75,1
55.0,3.0,550.0,60.0,165.0,8.333333333333334,174.60556765810645,1.330804536270488,365.87780198287953,160.70608663330628,53.56869554443543,0.9937468721390224,0.9957436384626309,0.9951618443849433,0.9951618443849433,0.9889201613235723,8,6,0.75,1
70.0,3.2,600.0,70.0,224.0,7.142857142857143,117.591504749337,0.4065068349068206,249.46872378438832,108.23062977345118,33.822071804203496,0.990096705526832,0.980514768722109,0.9930275984899013,0.9930275984899013,0.9938168564054166,4,3,0.75,1
70.0,3.0,550.0,60.0,210.0,8.333333333333334,107.79221268689227,0.31311377156306613,232.2510920404512,99.21141062566359,33.070470208554525,0.9948654484987907,0.9976429305978943,0.9937663353370001,0.9937663353370001,0.9942861927232681,7,5,0.7142857142857143,1
65.0,3.0,500.0,50.0,195.0,10.0,113.64859433367876,0.3669713961700203,247.29718866735752,104.60159485008103,34.86719828336034,0.9947940188854154,0.9977425051977415,0.9941041730446166,0.9941041730455495,0.9932252242537543,7,5,0.7142857142857143,1
70.0,3.0,500.0,60.0,210.0,8.333333333333334,97.99292062444749,0.23524701094144707,212.65250791556164,90.19219147787598,30.064063825958662,0.9947821107032089,0.9979933102813311,0.993198951253131,0.993198951253131,0.9947372300252426,7,5,0.7142857142857143,1
65.0,3.0,550.0,50.0,195.0,10.0,125.01345376704664,0.48843892830229735,270.0269075340933,115.06175433508912,38.35391811169637,0.9945275940225442,0.9971431760665801,0.9944895973960547,0.9944895974005761,0.9919880052269658,7,5,0.7142857142857143,1
65.0,3.0,600.0,60.0,195.0,8.333333333333334,136.3783132004145,0.6341265725817954,289.4232930674957,125.52191382009721,41.84063794003241,0.994478786989571,0.9964585412892424,0.9947832151662859,0.9947832151662859,0.99189017633647,7,5,0.7142857142857143,1
60.0,3.0,500.0,50.0,180.0,10.0,133.3792530721647,0.5932050666634587,286.75850614432943,122.76159395599785,40.92053131866595,0.9943906760070604,0.9972400841723128,0.994722163820936,0.994722163820936,0.9908782922140569,7,5,0.7142857142857143,1
70.0,3.0,450.0,60.0,210.0,8.333333333333334,88.19362856200276,0.17149507097631495,193.05392379067217,81.17297233008838,27.057657443362796,0.9943852057371658,0.9977203529671177,0.9924477495026397,0.9924477495026397,0.9949249709762664,7,5,0.7142857142857143,1
55.0,3.0,450.0,50.0,165.0,10.0,142.859100811178,0.7288929428558871,305.71820162235605,131.48679815452334,43.82893271817444,0.9941790084873527,0.9973638727802736,0.9948849497602764,0.994884949765517,0.9895822616433442,7,5,0.7142857142857143,1
55.0,3.0,550.0,70.0,165.0,7.142857142857143,174.60556765810645,1.330804536270488,363.4968496019272,160.70608663330628,53.56869554443543,0.9940764350012787,0.9957410729171193,0.9951682842695317,0.9951682842695317,0.990228098548932,7,5,0.7142857142857143,1
60.0,3.0,600.0,60.0,180.0,8.333333333333334,160.05510368659765,1.025058355194457,336.7768740398619,147.31391274719743,49.10463758239914,0.9939454899527362,0.9957618421738109,0.9951135751462452,0.9951135751462452,0.9897929673446436,7,5,0.7142857142857143,1
50.0,3.0,450.0,60.0,150.0,8.333333333333334,172.85951198152537,1.291278310738718,362.38569062971743,159.09902576697323,53.03300858899107,0.9939141320969733,0.9966258385386226,0.9950889262014899,0.995088926249568,0.9888528373982128,7,5,0.7142857142857143,1
60.0,3.0,550.0,50.0,180.0,10.0,146.71717837938118,0.7895559437290638,313.43435675876236,135.03775335159764,45.01258445053255,0.993908816177083,0.9965056660990366,0.9949518874463141,0.9949518874463141,0.9892258237166673,7,5,0.7142857142857143,1
50.0,3.0,500.0,60.0,150.0,8.333333333333334,192.06612442391705,1.7713008377760187,400.7989155145008,176.77669529663692,58.92556509887898,0.9936328292152183,0.9957361447799631,0.9951189104809411,0.9951189104815124,0.9885573511184569,7,5,0.7142857142857143,1
55.0,3.0,500.0,50.0,165.0,10.0,158.7323342346422,0.999853145206978,337.4646684692844,146.09644239391483,48.69881413130494,0.9936264559624122,0.9965593019129362,0.9950573570514165,0.9950573570536806,0.9878318078316157,7,5,0.7142857142857143,1
50.0,3.0,550.0,60.0,150.0,8.333333333333334,211.2727368663088,2.3576014150798823,439.21214039928424,194.4543648263006,64.81812160876687,0.9935483204459963,0.9949272016133686,0.9950895029593356,0.9950895029593356,0.9890870742519456,7,5,0.7142857142857143,1
55.0,3.0,600.0,60.0,165.0,8.333333333333334,190.47880108157065,1.7277462349176578,397.62426882980793,175.31573087269777,58.43857695756592,0.993520578133382,0.995017329014386,0.9951953185220922,0.9951953185220922,0.9886743464749578,7,5,0.7142857142857143,1
55.0,3.0,550.0,50.0,165.0,10.0,174.60556765810645,1.330804536270488,369.2111353162129,160.70608663330628,53.56869554443543,0.9932021172654355,0.9957533075584334,0.9951499378892521,0.9951499378892521,0.9867552857248043,7,5,0.7142857142857143,1
65.0,3.2,500.0,60.0,208.0,8.333333333333334,113.64859433367876,0.3669713961700203,243.96385533402417,104.60159485008103,32.68799839065032,0.9901537344753122,0.9812031612484442,0.9928925904376245,0.9928925904430796,0.9936265957721002,7,5,0.7142857142857143,1
70.0,3.0,500.0,70.0,210.0,7.142857142857143,97.99292062444749,0.23524701094144707,210.27155553460926,90.19219147787598,30.064063825958662,0.9948369721638965,0.9979935322335898,0.9932023895316833,0.9932023895316833,0.9949495773586302,6,4,0.6666666666666666,1
70.0,3.0,600.0,60.0,210.0,8.333333333333334,117.591504749337,0.4065068349068206,251.8496761653407,108.23062977345118,36.076876591150395,0.9947749930701582,0.9970693861475985,0.994207727620327,0.9942077276254138,0.9936151308872934,6,4,0.6666666666666666,1
70.0,3.0,550.0,50.0,210.0,10.0,107.79221268689227,0.31311377156306613,235.5844253737845,99.21141062566359,33.070470208554525,0.9947364664853895,0.9976433736192886,0.9937570981237085,0.9937570981237085,0.9937882960748523,6,4,0.6666666666666666,1
70.0,3.0,500.0,50.0,210.0,10.0,97.99292062444749,0.23524701094144707,215.98584124889499,90.19219147787598,30.064063825958662,0.9946878653669645,0.9979911892051228,0.9931860280468425,0.9931860280468425,0.9943882161690503,6,4,0.6666666666666666,1
70.0,3.0,450.0,70.0,210.0,7.142857142857143,88.19362856200276,0.17149507097631495,190.67297140971982,81.17297233008838,27.057657443362796,0.9944368222677713,0.9977203310388219,0.992456187328449,0.992456187328449,0.9951145833753654,6,4,0.6666666666666666,1
50.0,3.0,400.0,60.0,150.0,8.333333333333334,153.65289953913367,0.9069060289413221,323.97246574493397,141.42135623730954,47.14045207910318,0.9943674809540723,0.9974757446997125,0.9949793689850521,0.9949793690307485,0.9900354411007767,6,4,0.6666666666666666,1
70.0,3.0,450.0,50.0,210.0,10.0,88.19362856200276,0.17149507097631495,196.38725712400552,81.17297233008838,27.057657443362796,0.9943030976320131,0.9977206662551455,0.9924382857316885,0.9924382857629752,0.994615152778243,6,4,0.6666666666666666,1
50.0,3.0,450.0,70.0,150.0,7.142857142857143,172.85951198152537,1.291278310738718,360.0047382487651,159.09902576697323,53.03300858899107,0.9942429371461478,0.996626639682491,0.9950954386274488,0.9950954386274488,0.9901542316472025,6,4,0.6666666666666666,1
65.0,3.0,600.0,50.0,195.0,10.0,136.3783132004145,0.6341265725817954,292.7566264008291,125.52191382009721,41.84063794003241,0.9941435940069128,0.9964549099705298,0.9947727740690759,0.9947727740690759,0.9905739179189694,6,4,0.6666666666666666,1
50.0,3.0,500.0,70.0,150.0,7.142857142857143,192.06612442391705,1.7713008377760187,398.41796313354837,176.77669529663692,58.92556509887898,0.993951535576275,0.9957374200394026,0.9951258517198788,0.9951258517549249,0.9898170187908939,6,4,0.6666666666666666,1
55.0,3.0,600.0,70.0,165.0,7.142857142857143,190.47880108157065,1.7277462349176578,395.2433164488556,175.31573087269777,58.43857695756592,0.9938421221202349,0.9950173302406908,0.9952027836267663,0.9952027836267663,0.9899455909867165,6,4,0.6666666666666666,1
50.0,3.0,550.0,70.0,150.0,7.142857142857143,211.2727368663088,2.3576014150798823,436.8311880183319,194.4543648263006,64.81812160876687,0.9938022556900028,0.9949331579874962,0.9950984515017467,0.9950984515017467,0.9900789617690215,6,4,0.6666666666666666,1
