a_um,omega_p_MHz,ratio,delta_MHz,omega_c_MHz,omega_R_MHz,V_ct_MHz,V_DD_MHz,V_cc_MHz,R_DD,R_AA,selectivity_ok,T_c_ns,T_f_ns,sigma_ns,t_total_ns,M1,M2,F_bar,F_00,F_01,F_10,F_11,n_neighbors_total,n_neighbors_pass,robust_score,pass
3.75,60.0,3.0,400.0,70.0,180.0,536.3535881000184,3.261517256515775,-4.09038134430727,164.44910325968846,131.12557068706587,1,7.142857142857143,106.70340245773176,0.3037209941316909,227.69251920117782,119.18968624444854,39.729895414816184,0.9920139585084797,0.9976568130436572,0.9927438604634662,0.9927438604667729,0.9849113000600227,8,7,0.875,1
3.75,60.0,3.5,500.0,70.0,210.0,536.3535881000184,3.261517256515775,-4.09038134430727,164.44910325968846,131.12557068706587,1,7.142857142857143,133.3792530721647,0.5932050666634587,281.04422043004365,148.98710780556067,42.56774508730305,0.9913219619197393,0.9992939966936805,0.9913577630210526,0.9913577630643118,0.9832783248999126,8,7,0.875,1
4.25,50.0,3.0,500.0,70.0,150.0,368.44969668991695,1.5391243418092353,-1.9302689512767408,239.38916868588123,190.87997889942366,1,7.142857142857143,192.06612442391705,1.7713008377760187,398.41796313354837,147.37987867596678,49.12662622532226,0.9911988393033999,0.9955529466447584,0.991239784394645,0.9912397844169276,0.9867628417572685,8,7,0.875,1
4.0,60.0,3.5,500.0,50.0,210.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,1,10.0,133.3792530721647,0.5932050666634587,286.75850614432943,122.76159395599785,35.074741130285105,0.9911132877957949,0.9992941726538516,0.9894647885133936,0.9894647885133936,0.986229401502541,8,7,0.875,1
4.0,50.0,3.0,500.0,70.0,150.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,1,7.142857142857143,192.06612442391705,1.7713008377760187,398.41796313354837,176.77669529663692,58.92556509887898,0.9909178689127163,0.9955529466447584,0.9918706874571022,0.9918706874905351,0.9843771540584696,8,7,0.875,1
3.5,60.0,3.5,500.0,70.0,210.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,7.142857142857143,133.3792530721647,0.5932050666634587,281.04422043004365,183.24762712965276,52.3564648941865,0.9923479027284197,0.9992939966936805,0.9926252276251857,0.9926252276727818,0.9848471589220305,7,6,0.8571428571428571,1
4.25,50.0,3.0,400.0,70.0,150.0,368.44969668991695,1.5391243418092353,-1.9302689512767408,239.38916868588123,190.87997889942366,1,7.142857142857143,153.65289953913367,0.9069060289413221,321.5915133639816,117.90390294077342,39.30130098025781,0.991987801789199,0.9972391840644439,0.9909718656483391,0.9909718656503552,0.9887682917936578,7,6,0.8571428571428571,1
4.25,50.0,3.0,400.0,50.0,150.0,368.44969668991695,1.5391243418092353,-1.9302689512767408,239.38916868588123,190.87997889942366,1,10.0,153.65289953913367,0.9069060289413221,327.30579907826734,117.90390294077342,39.30130098025781,0.9918698872580504,0.9972396403580324,0.9909381877457689,0.9909381877740141,0.9883635331543859,7,6,0.8571428571428571,1
4.0,50.0,3.0,400.0,70.0,150.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,1,7.142857142857143,153.65289953913367,0.9069060289413221,321.5915133639816,141.42135623730954,47.14045207910318,0.9918463700599198,0.9972391840644439,0.9919148617793612,0.9919148618108033,0.9863165725850711,7,6,0.8571428571428571,1
4.25,70.0,3.0,800.0,70.0,210.0,368.44969668991695,1.5391243418092353,-1.9302689512767408,239.38916868588123,190.87997889942366,1,7.142857142857143,156.788672999116,0.9635717568161676,327.8630602839463,120.31010504160554,40.103368347201844,0.9918340886445144,0.994542945791786,0.9916258157967341,0.9916258157967341,0.9895417771928032,7,6,0.8571428571428571,1
4.0,70.0,3.0,800.0,70.0,210.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,1,7.142857142857143,156.788672999116,0.9635717568161676,327.8630602839463,144.30750636460158,48.10250212153386,0.991716445805598,0.994542945791786,0.9926458084915764,0.9926458084915764,0.9870312204474533,7,6,0.8571428571428571,1
